id,name,price,original_price,discount,discount_rate,days_created,review_count,authors,images,categories,order_count
167940010.0,Thao Túng Tâm Lý,109400.0,169000.0,59600.0,35.0,594,1343.0,LCSW,https://salt.tikicdn.com/ts/product/3a/7d/cb/40914dff2c00817fffc74c167b988de8.jpg,Sách tư duy - Kỹ năng sống,
648672.0,Đất Rừng Phương Nam (Tái Bản),60300.0,81000.0,20700.0,26.0,2348,171.0,Đoàn Giỏi,https://salt.tikicdn.com/media/catalog/product/d/a/dat-rung-phuong-nam.u2751.d20170522.t114623.732625.jpg,Văn học thiếu nhi,
57325187.0,Sách Người Giàu Có Nhất Thành Babylon (Tái Bản 2020),61000.0,98000.0,37000.0,38.0,1214,2391.0,GEORGE SAMUEL CLASON,https://salt.tikicdn.com/media/catalog/producttmp/5d/ac/3b/ae527a4e3abf97b9f58f1a788b1b32f0.jpg,Sách tiếng Việt,
168283405.0,Chiến Tranh Tiền Tệ - Phần 1 - Ai Thực Sự Là Người Giàu Nhất Thế Giới ( Tái Bản 2022),104000.0,165000.0,61000.0,37.0,593,693.0,Song Hong Bing,https://salt.tikicdn.com/ts/product/39/03/01/b4a8bd3e0d57d77693d0a132e763593e.jpg,"Sách tài chính, tiền tệ",
205581885.0,Ba người thầy vĩ đại (Tái bản),76600.0,115000.0,38400.0,33.0,343,129.0,Robin Sharma,https://salt.tikicdn.com/ts/product/f9/5b/ff/6eb02abe4f481777528ed6d01bf80081.png,Sách tư duy - Kỹ năng sống,
19792256.0,Chuyện Con Mèo Dạy Hải Âu Bay (Tái Bản 2019),36300.0,49000.0,12700.0,26.0,1596,2695.0,Luis Sepulveda,https://salt.tikicdn.com/ts/product/25/cc/f6/7bd7740f40022347bab2e854699ef761.jpg,Văn học thiếu nhi,
97594364.0,Luật Tâm Thức - Giải Mã Ma Trận Vũ Trụ,221000.0,292000.0,71000.0,24.0,893,6606.0,Ngô Sa Thạch,https://salt.tikicdn.com/ts/product/c3/0e/53/e3ce35e5d2a1d6d60f0db508ffa643c2.jpeg,Lĩnh vực khác,
271337381.0,World Religions - Tôn Giáo Thế Giới,295000.0,430000.0,135000.0,31.0,62,12.0,John Bowker,https://salt.tikicdn.com/ts/product/e8/c2/78/f6806421f2f6f5fbc000d2b7c22d6a24.jpg,Sách Tôn Giáo - Tâm Linh,
186286187.0,Nhà Lãnh Đạo Không Chức Danh,81400.0,105000.0,23600.0,22.0,495,114.0,Robin Sharma,https://salt.tikicdn.com/ts/product/1f/56/52/8c3e81272cb6825b8a45ed7eaf2371c0.png,"Sách quản trị, lãnh đạo",
109017985.0,"Thiên Tài Bên Trái, Kẻ Điên Bên Phải (Tái Bản)",114000.0,179000.0,65000.0,36.0,847,5363.0,Cao Minh,https://salt.tikicdn.com/ts/product/52/7d/95/6ecbef0767ee8bda715b2fb834fe9005.jpg,Sách tiếng Việt,
,,,,,,383,,,,,
12377498.0,Bố Con Cá Gai (Tái Bản 2019),71500.0,96000.0,24500.0,26.0,1673,1196.0,Cho Chang - In,https://salt.tikicdn.com/ts/product/66/6d/41/f14ad89822723bee0fe5d6a5af78ab87.png,Tiểu Thuyết,
100958457.0,Gieo Trồng Hạnh Phúc (Tái Bản),60900.0,89000.0,28100.0,32.0,881,312.0,Thich Nhất Hạnh,https://salt.tikicdn.com/ts/product/2f/c9/a5/34f6f31122bce7bccf995604a456c71d.png,Sách nghệ thuật sống đẹp,
143186001.0,Chiến Thắng Con Quỷ Trong Bạn - Bí Quyết Tự Do Và Thành Công (Tái Bản),72800.0,115000.0,42200.0,37.0,698,301.0,Napoleon Hill,https://salt.tikicdn.com/ts/product/2a/dd/08/4bd3005df741ec33120647f3c2d15153.jpg,Sách tư duy - Kỹ năng sống,
113530805.0,Tuổi Trẻ Đáng Giá Bao Nhiêu (Tái Bản),65200.0,90000.0,24800.0,28.0,829,1467.0,Rosie Nguyễn,https://salt.tikicdn.com/ts/product/1c/23/9d/60897f8c95577344740d489720ca900b.jpg,Sách tư duy - Kỹ năng sống,
271537839.0,Nhóc Maruko,39000.0,39100.0,100.0,0.0,53,7.0,Momoko Sakura,https://salt.tikicdn.com/ts/product/a1/76/ed/b8279355989fa274e0cd27a3dbfa3820.jpg,"Truyện Tranh, Manga, Comic",
69764541.0,Tâm Lý Học Hành Vi (Tặng Kèm 1 Bookmark ),67100.0,98000.0,30900.0,32.0,1109,2748.0,Khương Nguy,https://salt.tikicdn.com/ts/product/0c/19/4a/6c8406efbf80da52d520dfd72181b99a.jpg,Sách tiếng Việt,
139303869.0,Nghệ Thuật Tinh Tế Của Việc Đếch Quan Tâm (Tái Bản),78900.0,128000.0,49100.0,38.0,711,463.0,Mark Manson,https://salt.tikicdn.com/ts/product/f1/8b/1d/9bf6331eb34007b732396232fbf39fce.jpg,Sách tư duy - Kỹ năng sống,
68585576.0,"Càng Kỷ Luật, Càng Tự Do",77000.0,109000.0,32000.0,29.0,1119,3512.0,Ca Tây,https://salt.tikicdn.com/ts/product/a3/57/75/7e17fd1bc79704272e6beba9968682c8.jpg,Sách tiếng Việt,
209891492.0,Những Người Hàng Xóm - Nguyễn Nhật Ánh,85300.0,110000.0,24700.0,22.0,312,460.0,Nguyễn Nhật Ánh,https://salt.tikicdn.com/ts/product/e6/b5/5d/df00b70204b54586ef6ea559b2a0e2c7.png,Truyện dài,
161008717.0,Kiếp Nào Ta Cũng Tìm Thấy Nhau: Câu Chuyện Về Những Linh Hồn Tri Kỷ Vĩnh Viễn Không Chia Lìa (Tái Bản),67800.0,99000.0,31200.0,32.0,622,654.0,Brian L Weiss,https://salt.tikicdn.com/ts/product/b6/1a/8f/6b64314b3676754e69c7bdeb1004e26a.jpg,Sách Tôn Giáo - Tâm Linh,
184466860.0,Hành Tinh Của Một Kẻ Nghĩ Nhiều,62000.0,86000.0,24000.0,28.0,509,1713.0,Nguyễn Đoàn Minh Thư,https://salt.tikicdn.com/ts/product/90/43/a4/4c900bba6e328fb83d39330b27ea293a.jpg,Sách tư duy - Kỹ năng sống,
188940817.0,Vị Thần Của Những Quyết Định,58100.0,79000.0,20900.0,26.0,481,1121.0,Universe,https://salt.tikicdn.com/ts/product/f4/29/80/ccc84cef32909779f47336224ab5db93.png,Sách Chiêm Tinh - Horoscope,
15267827.0,Hoàng Tử Bé (Tái Bản 2019),55000.0,75000.0,20000.0,27.0,1628,3381.0,Antoine De Saint-Exupéry,https://salt.tikicdn.com/ts/product/22/e9/24/252e578ddec1722c75266107d3955223.jpg,Sách tiếng Việt,
217536280.0,999 Lá Thư Gửi Cho Chính Mình – Những lá thư ấn tượng nhất (Phiên bản song ngữ Trung - Việt),70100.0,99000.0,28900.0,29.0,256,95.0,Miêu Công Tử,https://salt.tikicdn.com/ts/product/4e/eb/94/75a3e623ef5087135b337dc22e72da36.jpg,Truyện ngắn - Tản văn - Tạp Văn,
10005245.0,Đàn Ông Sao Hỏa Đàn Bà Sao Kim,128000.0,188000.0,60000.0,32.0,1741,4101.0,John Gray,https://salt.tikicdn.com/ts/product/29/43/01/bd04f0946bed192d8cf7875167b0e3bd.jpg,Sách tiếng Việt,
10095276.0,Ikigai - Bí Mật Sống Trường Thọ Và Hạnh Phúc Của Người Nhật,67000.0,90000.0,23000.0,26.0,1741,670.0,Ken Mogi,https://salt.tikicdn.com/ts/product/e9/f6/23/cee87c1cde913c9cf27757b09c88a6e5.png,Sách tiếng Việt,
207395736.0,Dám Nghĩ Lại,126000.0,168000.0,42000.0,25.0,330,25.0,Adam Grant,https://salt.tikicdn.com/ts/product/29/30/26/f0d341fc0926aae9c4f92a61081758b0.jpg,Root,
161008715.0,Power Vs Force - Trường Năng Lượng Và Những Nhân Tố Quyết Định Hành Vi Của Con Người (Tái Bản),119000.0,179000.0,60000.0,34.0,622,489.0,David R.Hawkins,https://salt.tikicdn.com/ts/product/24/07/6b/bb775182e0792377f6f87a318be95fab.jpg,Kiến Thức Bách Khoa,
